id_viaje;origen_viaje;destino_viaje;estado_actual;tipo_vehiculo;nombre_chofer;apellido_chofer;start_date;start_time;end_date;end_time;last_update
999;547;600;3;1;Lars;Newsted;10/5/23;07:33;10/5/23;08:36;9/5/23
1000;543;600;3;2;Bob;Hetfield;11/5/23;17:35;11/5/23;18:32;9/5/23
1001;543;600;3;2;Robert;Hetfield;12/5/23;12:56;12/5/23;13:56;9/5/23
1010;546;600;3;3;Lars;Ulrich;13/5/23;14:31;13/5/23;15:21;9/5/23
1013;547;601;2;1;James;Ulrich;17/7/22;18:54;17/7/22;19:45;27/4/23
1021;545;601;1;3;Lars;Hetfield;26/1/20;15:57;26/1/20;16:56;28/4/23
1029;547;600;2;3;Jason;Rock;11/1/19;13:41;11/1/19;14:12;24/3/23
1077;546;601;1;3;Jason;Newsted;10/10/19;14:38;10/10/19;15:22;5/4/23
1087;547;600;4;2;Lars;Hetfield;30/7/22;14:53;30/7/22;15:43;9/4/23
1113;546;601;5;1;Bob;Hammet;17/9/20;08:23;17/9/20;09:09;9/5/23
1223;545;600;1;1;Robert;Newsted;16/3/20;16:28;16/3/20;17:32;21/4/23
1304;543;601;5;2;Lars;Ulrich;10/11/20;12:30;10/11/20;13:27;9/5/23
1309;547;601;4;1;James;Newsted;10/9/20;09:02;10/9/20;09:38;3/3/23
1391;545;601;2;3;Lars;Hetfield;19/7/22;07:33;19/7/22;08:36;2/4/23
1416;546;600;2;3;Bob;Hetfield;11/8/20;17:35;11/8/20;18:32;15/3/23
1474;547;601;4;3;Kirk;Ulrich;25/4/20;12:56;25/4/20;13:56;3/3/23
1581;545;601;5;1;Kirk;Ulrich;30/3/22;14:31;30/3/22;15:21;9/5/23
1585;546;600;4;2;Robert;Hetfield;16/8/21;12:08;16/8/21;12:08;10/3/23
1598;545;601;5;1;Jason;Newsted;21/9/20;18:43;21/9/20;19:16;9/5/23
1701;544;601;1;1;Cliff;Ulrich;23/4/19;19:31;23/4/19;20:15;20/4/23
1708;546;600;2;3;James;Burton;16/9/20;17:15;16/9/20;18:14;20/3/23
1736;543;600;2;3;Kirk;Rock;11/11/21;16:29;11/11/21;17:16;5/4/23
1861;547;600;4;3;Jason;Rock;4/10/20;17:46;4/10/20;17:46;3/4/23
1922;543;600;1;3;James;Hetfield;12/2/20;19:08;12/2/20;19:58;2/4/23
1926;543;600;1;2;Kirk;Newsted;20/11/20;16:34;20/11/20;16:34;20/4/23
2045;546;600;4;1;Kirk;Newsted;29/10/19;09:32;29/10/19;10:23;25/4/23
2069;543;601;5;2;Cliff;Hetfield;4/10/21;14:11;4/10/21;14:52;9/5/23
2078;543;601;1;3;Lars;Burton;15/3/18;18:47;15/3/18;19:24;3/4/23
2083;544;600;5;1;Bob;Hammet;14/4/20;21:28;14/4/20;22:06;9/5/23
2114;544;601;2;2;Cliff;Ulrich;4/7/20;18:03;4/7/20;18:36;27/3/23
2116;545;601;4;1;Cliff;Rock;12/9/22;16:52;12/9/22;17:23;29/4/23
2136;545;600;5;1;James;Newsted;18/12/21;17:50;18/12/21;17:50;9/5/23
2158;543;601;4;3;Bob;Hetfield;9/3/21;08:34;9/3/21;09:22;20/3/23
2334;544;600;4;2;Kirk;Burton;1/8/19;08:42;1/8/19;08:42;16/4/23
2386;547;601;5;3;Kirk;Hammet;23/4/20;12:10;23/4/20;12:41;9/5/23
2411;547;601;1;3;Kirk;Trujillo;26/1/21;12:16;26/1/21;12:47;20/3/23
2455;545;601;5;1;Bob;Newsted;23/5/22;17:52;23/5/22;18:33;9/5/23
2476;544;601;1;2;Cliff;Trujillo;20/3/20;11:28;20/3/20;12:15;11/3/23
2530;546;601;1;1;Jason;Hammet;7/7/19;11:25;7/7/19;12:11;23/4/23
2547;545;600;4;2;Cliff;Trujillo;26/12/22;18:20;26/12/22;18:58;8/3/23
2559;545;600;4;3;Lars;Hetfield;6/5/22;13:36;6/5/22;14:40;18/3/23
2609;546;600;4;1;Jason;Rock;21/10/19;10:26;21/10/19;11:17;17/3/23
2660;545;601;1;2;Cliff;Ulrich;23/9/20;13:37;23/9/20;14:08;12/3/23
2674;544;600;5;1;Jason;Hetfield;14/11/21;18:37;14/11/21;19:28;9/5/23
2689;543;601;5;2;Cliff;Hammet;11/6/21;19:25;11/6/21;20:19;9/5/23
2700;546;601;5;1;Lars;Burton;28/2/22;14:22;28/2/22;15:12;9/5/23
2718;543;600;2;1;James;Ulrich;8/3/19;14:00;8/3/19;15:00;16/4/23
2726;545;601;4;3;Cliff;Hammet;4/8/19;09:09;4/8/19;09:47;26/4/23
2730;547;600;4;1;Robert;Hammet;6/8/18;21:49;6/8/18;21:49;6/3/23
2823;544;600;4;3;Jason;Rock;5/7/20;08:33;5/7/20;09:16;23/4/23
2834;544;600;2;1;Jason;Trujillo;3/4/19;10:15;3/4/19;10:55;6/4/23
2962;547;601;5;1;Cliff;Burton;25/11/21;21:38;25/11/21;22:39;9/5/23
2988;547;600;4;2;Kirk;Hetfield;1/7/19;13:22;1/7/19;14:16;1/3/23
3003;544;601;1;2;Jason;Newsted;14/2/20;12:58;14/2/20;13:31;21/4/23
3009;544;600;1;2;James;Trujillo;19/7/20;18:47;19/7/20;19:31;13/3/23
3136;543;601;5;2;Robert;Hetfield;2/3/18;15:35;2/3/18;16:22;9/5/23
3197;545;601;5;1;Lars;Hammet;29/12/20;09:09;29/12/20;09:43;9/5/23
3202;543;600;2;1;Cliff;Hammet;28/7/18;19:45;28/7/18;20:31;28/3/23
3239;544;600;4;2;James;Newsted;7/7/18;13:01;7/7/18;13:48;21/4/23
3259;543;601;4;1;Cliff;Ulrich;10/10/21;11:28;10/10/21;12:04;1/4/23
3269;543;601;2;2;Robert;Hetfield;23/12/19;09:06;23/12/19;09:44;18/3/23
3314;546;600;5;3;Jason;Hetfield;28/3/20;13:03;28/3/20;13:59;9/5/23
3330;544;601;1;1;James;Ulrich;24/9/18;15:35;24/9/18;16:39;1/4/23
3336;543;600;1;2;Cliff;Hetfield;22/3/18;10:19;22/3/18;11:20;6/4/23
3394;547;601;2;2;Cliff;Ulrich;27/11/19;16:23;27/11/19;17:19;28/4/23
3459;546;600;2;3;Kirk;Hammet;13/7/21;09:43;13/7/21;10:14;15/4/23
